date,pnl
2021-01-20,-2005.0
2021-01-25,2950.0
2021-02-01,-400.0
2021-03-01,-1605.0
2021-03-09,-1815.0
2021-04-01,-1160.0
2021-04-15,-1030.0
2021-04-29,2395.0
2021-05-07,-1050.0
2021-05-13,-1510.0
2021-05-14,-1840.0
2021-07-07,1980.0
2021-07-14,-305.0
2021-10-14,-1320.0
2021-11-11,595.0
2021-11-29,-705.0
2021-12-01,-505.0
2021-12-07,-2915.0
2022-01-26,1860.0
2022-03-09,-1235.0
2022-04-12,1550.0
2022-04-28,2130.0
2022-05-10,4600.0
2022-07-27,-2325.0
2022-08-10,190.0
2022-10-04,-3030.0
2022-10-17,-945.0
2022-10-18,3340.0
2022-11-04,870.0
2022-11-10,-1720.0
2022-11-15,900.0
2022-12-13,3925.0
2023-01-26,1995.0
2023-02-02,-2365.0
2023-02-09,1420.0
2023-02-23,2825.0
2023-03-23,-2850.0
2023-04-26,-25.0
2023-04-27,-955.0
2023-05-05,-2525.0
2023-05-10,910.0
2023-05-25,515.0
2023-05-30,1200.0
2023-06-30,-1655.0
2023-07-12,-590.0
2023-07-13,-660.0
2023-07-27,1260.0
2023-07-28,-1720.0
2023-08-10,-615.0
2023-08-24,5875.0
2023-09-29,125.0
2023-11-02,-660.0
2023-11-14,-1060.0
2023-12-06,1935.0
2023-12-07,-1395.0
2023-12-21,910.0
2024-01-18,-1020.0
2024-01-24,-875.0
2024-02-22,-260.0
2024-03-06,645.0
2024-03-07,-1320.0
2024-03-18,-1360.0
2024-03-21,895.0
2024-04-04,920.0
2024-04-15,3235.0
2024-05-03,570.0
2024-05-23,3430.0
2024-06-03,2520.0
2024-06-05,-1450.0
2024-06-12,-2025.0
2024-06-13,1505.0
2024-07-22,-65.0
2024-07-31,-1460.0
2024-08-07,-1030.0
2024-09-19,-175.0
2024-09-26,5940.0
2024-10-04,2035.0
2024-10-17,3475.0
2024-10-24,1125.0
2024-11-06,-575.0
2024-11-25,2380.0
2024-12-11,-2275.0
2024-12-13,2090.0
2024-12-19,2300.0
2025-01-15,-1295.0
2025-01-17,1125.0
2025-03-12,4275.0
2025-03-24,-1885.0
2025-04-08,720.0
2025-04-23,-2210.0
2025-05-01,-2045.0
2025-05-12,2900.0
2025-05-29,3045.0
2025-06-06,-485.0
2025-06-20,4990.0
2025-06-24,-680.0
2025-07-15,1930.0
2025-07-31,4065.0
2025-08-04,-2385.0
2025-08-07,1210.0
2025-09-05,6540.0
2025-09-18,-1195.0
2025-10-02,2805.0
2025-10-06,1265.0
2025-10-13,1385.0
2025-10-15,-2135.0
2025-10-27,-720.0
2025-10-31,430.0
2025-11-03,3090.0
2025-11-10,200.0
2025-11-20,1060.0
2025-12-18,-1835.0
2025-12-22,2050.0
2026-01-02,6080.0
2026-01-05,-565.0
2026-01-15,870.0
2026-01-22,2125.0
2026-03-23,-2570.0
2026-04-08,4585.0
2026-04-22,-1705.0
2026-04-24,-1830.0
2026-05-05,-1980.0
2026-05-06,-3345.0
2026-06-08,-3160.0
2026-06-09,9615.0
