date,year,dow,atr14_prior,on_compressed
2020-12-28,2020,0,,False
2020-12-29,2020,1,,False
2020-12-30,2020,2,,False
2020-12-31,2020,3,,False
2021-01-04,2021,0,,False
2021-01-05,2021,1,,False
2021-01-06,2021,2,,False
2021-01-07,2021,3,,False
2021-01-08,2021,4,,False
2021-01-11,2021,0,,False
2021-01-12,2021,1,221.075,False
2021-01-13,2021,2,218.4090909090909,False
2021-01-14,2021,3,215.39583333333331,False
2021-01-15,2021,4,210.19230769230768,False
2021-01-18,2021,0,208.5892857142857,False
2021-01-19,2021,1,209.23076923076923,False
2021-01-20,2021,2,215.82692307692307,False
2021-01-21,2021,3,232.80769230769232,False
2021-01-22,2021,4,235.94230769230768,False
2021-01-25,2021,0,210.15384615384616,False
2021-01-26,2021,1,223.65384615384616,False
2021-01-27,2021,2,208.25,False
2021-01-28,2021,3,227.71153846153845,False
2021-01-29,2021,4,250.96153846153845,False
2021-02-01,2021,0,260.61538461538464,False
2021-02-02,2021,1,287.7307692307692,False
2021-02-03,2021,2,293.9423076923077,False
2021-02-04,2021,3,297.78846153846155,False
2021-02-05,2021,4,299.28846153846155,False
2021-02-08,2021,0,286.4107142857143,False
2021-02-09,2021,1,279.35714285714283,False
2021-02-10,2021,2,264.44642857142856,False
2021-02-11,2021,3,272.4642857142857,False
2021-02-12,2021,4,274.55357142857144,False
2021-02-15,2021,0,260.17857142857144,False
2021-02-16,2021,1,268.4423076923077,False
2021-02-17,2021,2,239.1346153846154,False
2021-02-18,2021,3,220.23076923076923,False
2021-02-19,2021,4,212.25,False
2021-02-22,2021,0,185.32692307692307,False
2021-02-23,2021,1,196.67307692307693,False
2021-02-24,2021,2,225.96153846153845,False
2021-02-25,2021,3,237.0192307692308,False
2021-02-26,2021,4,273.2307692307692,False
2021-03-01,2021,0,298.63461538461536,False
2021-03-02,2021,1,317.0576923076923,False
2021-03-03,2021,2,319.1730769230769,False
2021-03-04,2021,3,348.8269230769231,False
2021-03-05,2021,4,373.9230769230769,False
2021-03-08,2021,0,382.25,False
2021-03-09,2021,1,403.32142857142856,False
2021-03-10,2021,2,424.7142857142857,False
2021-03-11,2021,3,427.2142857142857,False
2021-03-12,2021,4,441.5535714285714,False
2021-03-15,2021,0,435.57142857142856,False
2021-03-16,2021,1,408.7678571428572,False
2021-03-17,2021,2,400.7678571428572,False
2021-03-18,2021,3,382.69642857142856,False
2021-03-19,2021,4,388.25,False
2021-03-22,2021,0,379.375,False
2021-03-23,2021,1,385.69642857142856,False
2021-03-24,2021,2,362.57142857142856,False
2021-03-25,2021,3,353.0357142857143,False
2021-03-26,2021,4,335.8392857142857,False
2021-03-29,2021,0,322.92857142857144,False
2021-03-30,2021,1,298.2142857142857,False
2021-03-31,2021,2,292.30357142857144,False
2021-04-01,2021,3,285.5,False
2021-04-05,2021,0,278.67857142857144,False
2021-04-06,2021,1,286.35714285714283,False
2021-04-07,2021,2,278.625,False
2021-04-08,2021,3,263.75,False
2021-04-09,2021,4,237.64285714285717,False
2021-04-12,2021,0,236.0,False
2021-04-13,2021,1,216.8392857142857,False
2021-04-14,2021,2,218.8571428571429,False
2021-04-15,2021,3,211.66071428571428,False
2021-04-16,2021,4,211.32142857142856,False
2021-04-19,2021,0,197.6071428571429,False
2021-04-20,2021,1,200.16071428571428,False
2021-04-21,2021,2,200.66071428571428,False
2021-04-22,2021,3,195.39285714285717,False
2021-04-23,2021,4,196.2321428571429,False
2021-04-26,2021,0,191.4642857142857,False
2021-04-27,2021,1,193.6071428571429,False
2021-04-28,2021,2,194.25,False
2021-04-29,2021,3,191.7321428571429,False
2021-04-30,2021,4,195.44642857142856,False
2021-05-03,2021,0,198.07142857142856,False
2021-05-04,2021,1,194.80357142857144,False
2021-05-05,2021,2,205.91071428571428,False
2021-05-06,2021,3,202.89285714285717,False
2021-05-07,2021,4,210.625,False
2021-05-10,2021,0,210.51785714285717,False
2021-05-11,2021,1,223.7321428571429,False
2021-05-12,2021,2,229.76785714285717,False
2021-05-13,2021,3,240.41071428571428,False
2021-05-14,2021,4,245.03571428571428,False
2021-05-17,2021,0,258.92857142857144,False
2021-05-18,2021,1,268.0892857142857,False
2021-05-19,2021,2,276.9642857142857,False
2021-05-20,2021,3,280.05357142857144,False
2021-05-21,2021,4,296.8392857142857,True
2021-05-24,2021,0,296.75,False
2021-05-25,2021,1,290.875,True
