date,book_pnl,book_cum
2021-01-20,-2005.0,-2005.0
2021-01-25,1695.0,-310.0
2021-02-01,3680.0,3370.0
2021-02-08,-305.0,3065.0
2021-02-22,-2970.0,95.0
2021-03-01,1515.0,1610.0
2021-03-08,-5055.0,-3445.0
2021-03-09,-1815.0,-5260.0
2021-03-15,1490.0,-3770.0
2021-03-22,3090.0,-680.0
2021-03-29,-130.0,-810.0
2021-04-01,-1160.0,-1970.0
2021-04-05,2975.0,1005.0
2021-04-09,520.0,1525.0
2021-04-12,535.0,2060.0
2021-04-13,420.0,2480.0
2021-04-14,-545.0,1935.0
2021-04-15,-1325.0,610.0
2021-04-19,-1165.0,-555.0
2021-04-20,-865.0,-1420.0
2021-04-21,330.0,-1090.0
2021-04-22,505.0,-585.0
2021-04-23,35.0,-550.0
2021-04-26,845.0,295.0
2021-04-27,-150.0,145.0
2021-04-29,2810.0,2955.0
2021-05-03,-2120.0,835.0
2021-05-04,135.0,970.0
2021-05-05,1250.0,2220.0
2021-05-07,-1050.0,1170.0
2021-05-10,-5405.0,-4235.0
2021-05-11,570.0,-3665.0
2021-05-12,555.0,-3110.0
2021-05-13,-1510.0,-4620.0
2021-05-14,-2130.0,-6750.0
2021-05-17,-705.0,-7455.0
2021-05-19,1235.0,-6220.0
2021-05-20,285.0,-5935.0
2021-05-21,-145.0,-6080.0
2021-05-24,2740.0,-3340.0
2021-06-04,-165.0,-3505.0
2021-06-07,820.0,-2685.0
2021-06-10,-235.0,-2920.0
2021-06-14,1610.0,-1310.0
2021-06-15,110.0,-1200.0
2021-06-16,-1620.0,-2820.0
2021-06-17,375.0,-2445.0
2021-06-21,785.0,-1660.0
2021-06-22,715.0,-945.0
2021-06-28,2380.0,1435.0
2021-07-02,300.0,1735.0
2021-07-07,2245.0,3980.0
2021-07-08,-325.0,3655.0
2021-07-09,-155.0,3500.0
2021-07-12,-415.0,3085.0
2021-07-13,-565.0,2520.0
2021-07-14,-305.0,2215.0
2021-07-15,125.0,2340.0
2021-07-16,370.0,2710.0
2021-07-19,-960.0,1750.0
2021-07-20,415.0,2165.0
2021-07-21,105.0,2270.0
2021-07-22,55.0,2325.0
2021-07-23,-165.0,2160.0
2021-07-26,545.0,2705.0
2021-07-27,175.0,2880.0
2021-07-29,-410.0,2470.0
2021-07-30,-105.0,2365.0
2021-08-02,-1810.0,555.0
2021-08-09,185.0,740.0
2021-08-10,40.0,780.0
2021-08-11,-145.0,635.0
2021-08-12,110.0,745.0
2021-08-16,370.0,1115.0
2021-08-19,700.0,1815.0
2021-08-20,345.0,2160.0
2021-08-23,3445.0,5605.0
2021-08-27,45.0,5650.0
2021-08-30,2775.0,8425.0
2021-09-02,245.0,8670.0
2021-09-03,-15.0,8655.0
2021-09-08,-50.0,8605.0
