trade_date,year,dow,full_rth,rth_same_sym,roll_in_day,on_ok,gap_ok,on_high,on_low,on_range,on_range_atr,rth_open,rth_close,prior_rth_close,gap,gap_atr,atr14_prior,on_compressed,p0930,p0935,p0940,p0945,p1000,p1005,p1010,p1015,p1030,p1045,p1100,p1200,oc_open,oc_high,oc_low,oc_close,oc_dir,oc_body,oc_body_atr,oc_range,arr5,morn_high_mod,morn_low_mod,morn_high,morn_low,rth_high_mod,rth_low_mod,rth_high,rth_low,oc_set_rth_high,oc_set_rth_low,p0945_is_high_sofar,p0945_is_low_sofar,fhw1030_hi_mod,fhw1030_lo_mod,fhw1015_hi_mod,fhw1015_lo_mod,fhw1100_hi_mod,fhw1100_lo_mod,fhw1130_hi_mod,fhw1130_lo_mod,or15_break_dir,or15_break_mod,vol_1000_5m_atr,vol_1100_5m_atr
2021-01-12,2021,1,True,True,False,True,True,12959.0,12865.5,93.5,0.4229333936446907,12902.5,12882.5,12896.25,6.25,0.0282709487730408,221.075,False,12902.5,12930.0,12935.0,12922.0,12890.5,12882.25,12883.75,12879.0,12897.75,12892.75,12885.75,12869.25,12902.5,12948.0,12895.0,12922.0,1.0,19.5,0.08820536017188738,53.0,0.01470089336198123,578,592,12948.0,12843.0,578,735,12948.0,12767.25,True,False,False,False,578,592,578,592,628,601,675,660,-1.0,587.0,0.11760714689584983,0.13909306796336085
2021-01-13,2021,2,True,True,False,True,True,12935.0,12820.75,114.25,0.5231009365244537,12889.25,12967.75,12882.5,6.75,0.0309053069719042,218.4090909090909,False,12889.25,12902.0,12875.25,12868.25,12913.5,12872.25,12899.0,12916.5,12930.5,12956.25,12972.25,12969.25,12889.25,12916.5,12864.5,12868.25,-1.0,-21.0,-0.09614984391259106,52.0,0.049219562955254946,704,584,12993.25,12864.5,872,584,13003.0,12864.5,False,True,False,False,592,584,592,584,657,605,660,630,1.0,590.0,0.2586888657648283,0.0927159209157128
2021-01-14,2021,3,True,True,False,True,True,13015.0,12922.5,92.5,0.4294419189476738,12985.75,12897.5,12967.75,18.0,0.0835670761195473,215.39583333333331,False,12985.75,12995.25,12990.75,12987.75,12993.25,12997.0,12988.0,12986.0,13004.0,13012.75,13013.5,12977.75,12985.75,13015.0,12972.0,12987.75,1.0,2.0,0.009285230679949706,43.0,0.0522294225747171,653,717,13028.75,12968.0,653,956,13028.75,12881.0,False,False,False,False,576,586,576,586,653,614,653,684,-1.0,586.0,0.07312119160460394,0.04526549956475481
2021-01-15,2021,4,True,True,False,True,True,12928.0,12830.0,98.0,0.4662397072278134,12890.0,12798.75,12897.5,-7.5,-0.0356816102470265,210.19230769230768,False,12890.0,12911.0,12912.25,12903.0,12901.0,12858.0,12804.5,12828.75,12792.25,12816.5,12805.0,12838.0,12890.0,12931.25,12879.5,12903.0,1.0,13.0,0.06184812442817933,51.75,0.07136322049405307,578,666,12931.25,12743.5,578,666,12931.25,12743.5,True,False,False,False,578,623,578,609,600,623,689,666,-1.0,603.0,0.25809698078682525,0.21052150045745655
2021-01-19,2021,1,True,True,False,True,True,12949.0,12810.75,138.25,0.6607536764705882,12896.5,12985.0,12814.0,82.5,0.3943014705882353,209.23076923076923,False,12896.5,12915.25,12899.0,12896.0,12884.5,12887.25,12897.5,12910.25,12883.5,12891.0,12879.25,12900.0,12896.5,12930.25,12888.75,12896.0,-1.0,-0.5,-0.0023897058823529414,41.5,0.017922794117647058,573,678,12930.25,12849.25,904,678,13006.5,12849.25,False,False,False,False,573,602,573,602,615,602,647,678,-1.0,587.0,0.15891544117647058,0.07408088235294118
2021-01-20,2021,2,True,True,False,True,True,13138.5,13017.0,121.5,0.5629510825982358,13137.0,13285.5,12985.0,152.0,0.7042680210282456,215.82692307692307,False,13137.0,13144.0,13176.5,13183.25,13164.25,13175.5,13206.5,13230.0,13230.25,13235.75,13237.25,13249.25,13137.0,13191.75,13121.0,13183.25,1.0,46.25,0.21429207876681816,70.75,0.0706584692150049,683,570,13255.0,13121.0,944,570,13327.0,13121.0,False,True,False,False,618,570,614,570,648,602,683,669,1.0,590.0,0.07181680477590663,0.061391784727791145
2021-01-21,2021,3,True,True,False,True,True,13392.0,13288.0,104.0,0.4467206343961671,13340.0,13397.25,13285.5,54.5,0.2340987939864529,232.80769230769232,False,13340.0,13299.0,13303.5,13303.0,13317.0,13323.75,13331.0,13364.5,13363.75,13368.75,13386.0,13368.25,13340.0,13343.75,13283.25,13303.0,-1.0,-37.0,-0.15892945646786716,60.5,0.08698166198579216,664,582,13392.75,13283.25,949,582,13423.5,13283.25,False,True,False,False,619,582,613,582,656,601,664,631,1.0,610.0,0.10845861556253097,0.056913926978357836
2021-01-22,2021,4,True,True,False,True,True,13402.25,13300.25,102.0,0.4323090716439808,13347.75,13355.25,13397.25,-49.5,-0.2097970494742848,235.94230769230768,False,13347.75,13347.75,13349.75,13356.75,13383.0,13376.5,13389.0,13374.25,13348.5,13343.75,13351.25,13368.5,13347.75,13362.5,13327.75,13356.75,1.0,9.0,0.0381449180862336,34.75,0.0286086885646752,600,649,13391.75,13323.0,939,649,13397.0,13323.0,False,False,False,False,600,573,600,573,600,649,673,649,1.0,585.0,0.06887276876681067,0.08370690357812373
2021-01-25,2021,0,True,True,False,True,True,13508.0,13368.75,139.25,0.6626098096632503,13497.75,13474.5,13355.25,142.5,0.6780746705710102,210.15384615384616,False,13497.75,13535.5,13544.5,13547.25,13538.75,13540.75,13530.25,13520.5,13516.5,13495.75,13349.25,13399.0,13497.75,13554.5,13496.0,13547.25,1.0,49.5,0.23554172767203513,58.5,0.042825768667642754,578,668,13554.5,13189.0,578,668,13554.5,13189.0,True,False,False,False,578,570,578,570,603,659,633,668,-1.0,636.0,0.10468521229868229,0.5745790629575402
2021-01-26,2021,1,True,True,False,True,True,13497.0,13380.25,116.75,0.5220120378331901,13493.25,13484.75,13474.5,18.75,0.083834909716251,223.65384615384616,False,13493.25,13501.75,13476.0,13441.0,13478.0,13495.25,13488.25,13474.0,13485.25,13496.75,13509.25,13458.5,13493.25,13509.25,13434.25,13441.0,-1.0,-52.25,-0.23361994840928632,75.0,0.18667239896818572,666,585,13533.0,13426.75,666,585,13533.0,13426.75,False,False,False,False,572,585,572,585,652,620,666,689,-1.0,585.0,0.0938950988822012,0.08159931212381771
2021-01-27,2021,2,True,True,False,True,True,13586.5,13352.0,234.5,1.1260504201680672,13389.5,13119.75,13484.75,-95.25,-0.4573829531812725,208.25,False,13389.5,13273.75,13264.75,13231.0,13281.0,13324.25,13345.25,13320.25,13348.25,13350.25,13364.25,13217.0,13389.5,13389.5,13218.5,13231.0,-1.0,-158.5,-0.7611044417767107,171.0,0.2148859543817527,570,593,13389.5,13171.25,570,937,13389.5,13021.0,True,False,False,False,570,593,570,593,653,600,653,689,-1.0,585.0,0.30612244897959184,0.11044417767106843
2021-01-28,2021,3,True,True,False,True,True,13189.25,12906.25,283.0,1.2428004391520986,13155.25,13185.75,13119.75,35.5,0.1558989950173127,227.71153846153845,False,13155.25,13162.5,13138.0,13237.5,13189.0,13211.5,13210.5,13239.5,13236.25,13230.25,13276.25,13308.0,13155.25,13248.75,13128.25,13237.5,1.0,82.25,0.3612026011316612,120.5,0.4863609492441517,670,580,13318.75,13128.25,828,580,13394.0,13128.25,False,True,False,False,622,580,583,580,657,600,670,641,1.0,615.0,0.1943248036483405,0.10429862342707542
2021-01-29,2021,4,True,True,False,True,True,13188.0,12933.5,254.5,1.0140996168582377,13110.5,12913.75,13185.75,-75.25,-0.2998467432950191,250.96153846153845,False,13110.5,13120.25,13051.5,13015.75,13084.0,13075.25,13075.25,13103.75,13141.75,13059.5,13105.25,13030.25,13110.5,13135.25,12998.0,13015.75,-1.0,-94.75,-0.37754789272030653,137.25,0.2131800766283525,631,697,13157.25,12962.5,631,769,13157.25,12829.0,False,False,False,False,627,583,574,583,631,606,631,688,1.0,623.0,0.12850574712643678,0.21616858237547892
2021-02-01,2021,0,True,True,False,True,True,13084.0,12727.25,356.75,1.368875442739079,13051.5,13230.5,12913.75,137.75,0.5285566706021251,260.61538461538464,False,13051.5,13087.5,13081.25,13064.25,13019.25,13039.0,12997.5,13042.5,13082.5,13116.25,13073.25,13175.25,13051.5,13104.0,13047.25,13064.25,1.0,12.75,0.04892266824085005,56.75,0.056596812278630455,712,594,13197.5,12970.25,801,594,13271.5,12970.25,False,False,False,False,574,594,574,594,649,600,689,663,-1.0,585.0,0.2072018890200708,0.1515643447461629
2021-02-02,2021,1,True,True,False,True,True,13378.5,13230.5,148.0,0.5143697366662211,13352.25,13448.5,13230.5,121.75,0.4231386178318406,287.7307692307692,False,13352.25,13372.5,13390.0,13398.25,13381.5,13385.25,13393.0,13392.25,13383.75,13398.5,13414.75,13456.75,13352.25,13404.0,13345.0,13398.25,1.0,46.0,0.15987167490977142,59.0,0.04865659671166957,719,570,13458.75,13345.0,887,570,13493.5,13345.0,False,True,False,False,620,570,588,570,620,606,680,630,1.0,585.0,0.07646036626119503,0.07646036626119503
2021-02-03,2021,2,True,True,False,True,True,13584.5,13475.75,108.75,0.3699705593719333,13531.5,13388.75,13448.5,83.0,0.2823683349689238,293.9423076923077,False,13531.5,13512.75,13463.75,13486.0,13527.25,13516.5,13480.25,13459.25,13397.0,13434.25,13426.75,13470.75,13531.5,13547.75,13461.5,13486.0,-1.0,-45.5,-0.15479228001308473,86.25,0.007654563297350344,570,638,13547.75,13391.0,570,959,13547.75,13386.75,True,False,False,False,570,629,570,614,602,638,667,638,-1.0,610.0,0.11736997055937194,0.06974157670919202
2021-02-04,2021,3,True,True,False,True,True,13463.5,13345.25,118.25,0.3970939618986115,13449.0,13550.5,13388.75,60.25,0.2023248304811107,297.78846153846155,False,13449.0,13434.75,13446.75,13431.25,13436.75,13393.25,13414.75,13435.25,13414.25,13417.0,13434.25,13456.25,13449.0,13480.25,13412.25,13431.25,-1.0,-17.75,-0.05960607039070068,68.0,0.0973845657087504,571,604,13480.25,13391.75,959,604,13552.5,13391.75,False,False,False,False,571,604,571,604,616,604,685,630,-1.0,602.0,0.15615111398127218,0.05876654827252179
2021-02-05,2021,4,True,True,False,True,True,13618.75,13528.25,90.5,0.3023838591531195,13590.0,13596.5,13550.5,39.5,0.1319796954314721,299.28846153846155,False,13590.0,13560.5,13552.0,13566.25,13539.0,13545.75,13553.75,13547.75,13547.25,13551.0,13565.75,13565.0,13590.0,13593.25,13544.5,13566.25,-1.0,-23.75,-0.0793548801644927,48.75,0.005011887168283749,570,622,13593.25,13519.5,799,622,13638.5,13519.5,False,False,False,False,570,622,570,603,655,622,664,632,-1.0,595.0,0.08854333997301292,0.037589153762128125
