trade_date,year,dow,full_rth,roll_in_day,sym_rth_first,sym_rth_last,rth_same_sym,same_sym_prev_rth,on_ok,gap_ok,n_on,n_rth,on_high,on_low,on_range,on_range_atr,rth_open,rth_close,rth_high,rth_low,prior_rth_close,prior_td,gap,gap_atr,atr14_prior,on_terc_lo_boundary,on_compressed
2020-12-28,2020,0,True,False,NQH1,NQH1,True,False,True,False,930,390,12827.5,12655.25,172.25,,12816.25,12833.75,12855.5,12740.75,,,,,,,False
2020-12-29,2020,1,True,False,NQH1,NQH1,True,True,True,True,930,390,12898.75,12841.25,57.5,,12891.75,12846.75,12918.25,12808.25,12833.75,2020-12-28,58.0,,,,False
2020-12-30,2020,2,True,False,NQH1,NQH1,True,True,True,True,930,390,12906.0,12828.0,78.0,,12897.0,12842.75,12909.75,12820.5,12846.75,2020-12-29,50.25,,,,False
2020-12-31,2020,3,True,False,NQH1,NQH1,True,True,True,True,930,390,12863.75,12833.5,30.25,,12841.5,12869.75,12896.0,12796.5,12842.75,2020-12-30,-1.25,,,,False
2021-01-04,2021,0,True,False,NQH1,NQH1,True,True,True,True,930,390,12959.75,12825.25,134.5,,12933.75,12688.0,12941.25,12522.5,12869.75,2020-12-31,64.0,,,,False
2021-01-05,2021,1,True,False,NQH1,NQH1,True,True,True,True,930,390,12727.5,12612.0,115.5,,12651.0,12791.5,12802.0,12650.25,12688.0,2021-01-04,-37.0,,,,False
2021-01-06,2021,2,True,False,NQH1,NQH1,True,True,True,True,930,390,12844.25,12491.25,353.0,,12598.25,12618.5,12796.0,12551.25,12791.5,2021-01-05,-193.25,,,,False
2021-01-07,2021,3,True,False,NQH1,NQH1,True,True,True,True,930,390,12762.0,12646.5,115.5,,12728.0,12925.5,12959.0,12726.0,12618.5,2021-01-06,109.5,,,,False
2021-01-08,2021,4,True,False,NQH1,NQH1,True,True,True,True,930,390,13023.0,12919.0,104.0,,13019.0,13092.0,13104.5,12927.25,12925.5,2021-01-07,93.5,,,,False
2021-01-11,2021,0,True,False,NQH1,NQH1,True,True,True,True,930,390,13105.25,12952.5,152.75,,12964.25,12896.25,13014.0,12871.75,13092.0,2021-01-08,-127.75,,,,False
2021-01-12,2021,1,True,False,NQH1,NQH1,True,True,True,True,930,390,12959.0,12865.5,93.5,0.42293339364469074,12902.5,12882.5,12948.0,12767.25,12896.25,2021-01-11,6.25,0.028270948773040826,221.075,,False
2021-01-13,2021,2,True,False,NQH1,NQH1,True,True,True,True,930,390,12935.0,12820.75,114.25,0.5231009365244537,12889.25,12967.75,13003.0,12864.5,12882.5,2021-01-12,6.75,0.030905306971904266,218.4090909090909,,False
2021-01-14,2021,3,True,False,NQH1,NQH1,True,True,True,True,930,390,13015.0,12922.5,92.5,0.42944191894767386,12985.75,12897.5,13028.75,12881.0,12967.75,2021-01-13,18.0,0.08356707611954735,215.39583333333334,,False
2021-01-15,2021,4,True,False,NQH1,NQH1,True,True,True,True,930,390,12928.0,12830.0,98.0,0.4662397072278134,12890.0,12798.75,12931.25,12743.5,12897.5,2021-01-14,-7.5,-0.035681610247026534,210.19230769230768,,False
2021-01-18,2021,0,False,False,NQH1,NQH1,True,True,True,True,930,210,12816.75,12727.0,89.75,0.43027138087492506,12800.25,12814.0,12815.25,12784.25,12798.75,2021-01-15,1.5,0.007191165139970893,208.58928571428572,,False
