trade_date,year,dow,regime,fh_prog,fh_loc,fh_net,fh_rng,fh_open,fh_close,fh_high,fh_low,atr14_prior,gap,on_range,rod_drift,rod_mfe_up,rod_mfe_dn,rod_close,pm_texture,pm_drift,fh_dir
2020-12-28,2020,0,STR,0.596,0.3561,-47.2,79.2,12816.2,12769.0,12820.0,12740.8,,,172.25,64.8,86.5,1.5,12833.8,CHOP,-4.2,-1
2020-12-29,2020,1,SWEEP_REVERT_BEAR,0.352,0.4022,-37.8,107.4,12891.8,12854.0,12918.2,12810.8,,58.0,57.5,-7.2,35.0,45.8,12846.8,CHOP,0.0,-1
2020-12-30,2020,2,SWEEP_REVERT_BEAR,0.508,0.3209,-38.0,74.8,12897.0,12859.0,12909.8,12835.0,,50.25,78.0,-16.2,13.8,38.5,12842.8,CHOP,-12.0,-1
2020-12-31,2020,3,SWEEP_REVERT_BULL,0.1429,0.6857,5.0,35.0,12841.5,12846.5,12857.5,12822.5,,-1.25,30.25,23.3,49.5,50.0,12869.8,DRIFT_UP,45.0,1
2021-01-04,2021,0,STR,0.5734,0.3485,-54.3,94.7,12933.8,12879.5,12941.2,12846.5,,64.0,134.5,-191.5,8.5,357.0,12688.0,TREND_UP,91.5,-1
2021-01-05,2021,1,ONEWAY_UP,0.701,0.707,93.8,133.8,12651.0,12744.8,12784.0,12650.2,,-37.0,115.5,46.7,57.2,56.8,12791.5,TREND_UP,63.3,1
2021-01-06,2021,2,ONEWAY_UP,0.6354,0.9273,102.3,161.0,12598.2,12700.5,12712.2,12551.2,,-193.25,353.0,-82.0,95.5,105.0,12618.5,TREND_DOWN,-147.7,1
2021-01-07,2021,3,ONEWAY_UP,0.8883,0.9006,144.8,163.0,12728.0,12872.8,12889.0,12726.0,,109.5,115.5,52.7,86.2,4.0,12925.5,DRIFT_UP,31.5,1
2021-01-08,2021,4,SWEEP_REVERT_BEAR,0.5902,0.0618,-60.2,102.0,13019.0,12958.8,13054.5,12952.5,,93.5,104.0,133.2,145.7,31.6,13092.0,DRIFT_UP,59.0,-1
2021-01-11,2021,0,SWEEP_REVERT_BULL,0.2474,0.9377,25.8,104.3,12964.2,12990.0,12996.5,12892.2,,-127.75,152.75,-93.8,24.0,118.2,12896.2,TREND_DOWN,-98.3,1
2021-01-12,2021,1,CHOP,0.0476,0.519,-5.0,105.0,12902.5,12897.5,12948.0,12843.0,221.075,6.25,93.5,-15.0,30.0,130.3,12882.5,DRIFT_UP,37.0,-1
2021-01-13,2021,2,BTD,0.5062,0.8111,41.0,81.0,12889.2,12930.2,12945.5,12864.5,218.4090909090909,6.75,114.25,37.6,72.8,0.7,12967.8,CHOP,-5.0,1
2021-01-14,2021,3,BTD,0.3939,0.7619,18.2,46.2,12985.8,13004.0,13015.0,12968.8,215.39583333333334,18.0,92.5,-106.5,24.8,123.0,12897.5,TREND_DOWN,-83.5,1
2021-01-15,2021,4,SWEEP_REVERT_BEAR,0.5484,0.221,-98.0,178.7,12890.0,12792.0,12931.2,12752.5,210.19230769230768,-7.5,98.0,6.8,95.0,48.5,12798.8,DRIFT_DOWN,-51.2,-1
