date,pnl
2021-01-25,-1255.0
2021-02-01,4080.0
2021-02-08,-305.0
2021-02-22,-2970.0
2021-03-01,3120.0
2021-03-08,-5055.0
2021-03-15,1490.0
2021-03-22,3090.0
2021-03-29,-130.0
2021-04-05,2975.0
2021-04-12,535.0
2021-04-19,-1600.0
2021-04-26,1405.0
2021-05-03,-2400.0
2021-05-10,-5135.0
2021-05-17,-705.0
2021-05-24,2945.0
2021-06-07,820.0
2021-06-14,1405.0
2021-06-21,1155.0
2021-06-28,2290.0
2021-07-12,-415.0
2021-07-19,-960.0
2021-07-26,545.0
2021-08-02,-1810.0
2021-08-09,185.0
2021-08-16,370.0
2021-08-23,3715.0
2021-08-30,2915.0
2021-09-13,-2860.0
2021-09-20,-2895.0
2021-09-27,720.0
2021-10-04,-5070.0
2021-10-11,-110.0
2021-10-18,3790.0
2021-10-25,1965.0
2021-11-01,15.0
2021-11-08,-585.0
2021-11-15,-1340.0
2021-11-22,-2890.0
2021-11-29,3340.0
2021-12-06,2675.0
2021-12-13,-3555.0
2021-12-20,300.0
2021-12-27,3930.0
2022-01-03,1620.0
2022-01-10,2895.0
2022-01-24,3060.0
2022-01-31,6765.0
2022-02-07,-2665.0
2022-02-14,1125.0
2022-02-28,1215.0
2022-03-07,-8790.0
2022-03-14,-3745.0
2022-03-21,-1650.0
2022-03-28,4145.0
2022-04-04,4710.0
2022-04-11,-2915.0
2022-04-18,40.0
2022-04-25,4365.0
2022-05-02,2490.0
2022-05-09,-5180.0
2022-05-16,-1715.0
2022-05-23,1895.0
2022-06-06,-3115.0
2022-06-13,-3640.0
2022-06-27,-2800.0
2022-07-11,-3305.0
2022-07-18,-4780.0
2022-07-25,-2555.0
2022-08-01,1050.0
2022-08-08,-1670.0
2022-08-15,2955.0
2022-08-22,-3990.0
2022-08-29,1265.0
2022-09-12,1775.0
2022-09-19,4005.0
2022-09-26,-40.0
2022-10-03,4205.0
2022-10-10,-1970.0
2022-10-17,2580.0
2022-10-24,2355.0
2022-10-31,-390.0
2022-11-07,1680.0
2022-11-14,475.0
2022-11-21,-1355.0
2022-11-28,-2070.0
2022-12-05,-2900.0
2022-12-19,-4195.0
2023-01-09,180.0
2023-01-23,4055.0
2023-01-30,-1760.0
2023-02-06,-70.0
2023-02-13,2810.0
2023-02-27,-1335.0
2023-03-06,-695.0
2023-03-13,4785.0
2023-03-20,910.0
2023-03-27,-2040.0
2023-04-03,990.0
2023-04-10,1865.0
2023-04-17,200.0
2023-04-24,-545.0
2023-05-01,10.0
2023-05-08,970.0
2023-05-15,770.0
2023-05-22,800.0
2023-06-05,585.0
2023-06-12,3090.0
2023-06-26,-2675.0
2023-07-10,-265.0
2023-07-17,2520.0
2023-07-24,-645.0
2023-07-31,-960.0
2023-08-07,410.0
2023-08-14,3680.0
2023-08-21,3915.0
2023-08-28,-575.0
2023-09-11,1240.0
2023-09-18,640.0
2023-09-25,1390.0
2023-10-02,1350.0
2023-10-09,3415.0
2023-10-16,2670.0
2023-10-23,2430.0
2023-10-30,1440.0
2023-11-06,-135.0
2023-11-13,605.0
2023-11-20,4060.0
2023-11-27,690.0
2023-12-04,-30.0
2023-12-11,2955.0
2023-12-18,2105.0
2024-01-08,5440.0
2024-01-22,-1275.0
2024-01-29,2955.0
2024-02-05,-350.0
2024-02-12,-1155.0
2024-02-26,-485.0
2024-03-04,-865.0
2024-03-11,210.0
2024-03-18,-295.0
2024-03-25,1885.0
2024-04-01,-430.0
2024-04-08,-765.0
2024-04-15,-9275.0
2024-04-22,1205.0
2024-04-29,-1370.0
2024-05-06,1565.0
2024-05-13,-635.0
2024-05-20,2335.0
2024-06-03,-2835.0
2024-06-10,2170.0
2024-06-17,5500.0
2024-06-24,-2245.0
2024-07-01,1095.0
2024-07-08,65.0
2024-07-15,-965.0
2024-07-22,1305.0
2024-07-29,-605.0
2024-08-05,7880.0
2024-08-12,-710.0
2024-08-19,3520.0
2024-08-26,-4155.0
2024-09-09,545.0
2024-09-16,110.0
2024-09-23,-375.0
2024-09-30,115.0
2024-10-07,-3440.0
2024-10-14,1935.0
2024-10-21,715.0
2024-10-28,-2090.0
2024-11-04,-415.0
2024-11-11,-1745.0
2024-11-18,1620.0
2024-11-25,-3110.0
